uf;ano;taxa
AP;1996;77.687
MG;1996;12.488
PR;1996;26.797
RJ;1996;112.799
SE;1996;25.375
PE;1996;72.12
BA;1996;27.433
MA;1996;11.147
PI;1996;6.629
GO;1996;25.509
ES;1996;71.545
AL;1996;42.894
MS;1996;58.228
MT;1996;40.174
PB;1996;32.951
CE;1996;23.804
RN;1996;15.755
SP;1996;71.243
RO;1996;28.612
AM;1996;36.335
DF;1996;56.392
SC;1996;13.614
AC;1996;34.051
PA;1996;21.542
RS;1996;27.74
RR;1996;70.176
TO;1996;17.361
SC;1997;12.716
AP;1997;68.5
SP;1997;72.267
PR;1997;28.01
RN;1997;17.044
AC;1997;39.607
MT;1997;44.042
SE;1997;21.78
PB;1997;26.724
BA;1997;29.536
RR;1997;56.114
ES;1997;88.905
MG;1997;12.779
PE;1997;96.101
RS;1997;30.924
AM;1997;37.443
MA;1997;10.104
MS;1997;55.142
PI;1997;9.461
RO;1997;41.095
AL;1997;33.437
DF;1997;57.025
TO;1997;14.905
GO;1997;23.44
PA;1997;23.291
RJ;1997;115.588
CE;1997;26.154
PR;1998;29.333
PA;1998;25.878
AL;1998;33.36
AC;1998;38.515
SP;1998;81.112
AM;1998;45.126
SC;1998;12.75
RS;1998;28.625
TO;1998;15.752
AP;1998;74.645
SE;1998;17.578
RR;1998;83.463
RJ;1998;110.734
BA;1998;17.521
CE;1998;24.699
MA;1998;8.777
DF;1998;60.752
RO;1998;54.879
ES;1998;106.314
RN;1998;16.842
MS;1998;54.093
GO;1998;22.769
PE;1998;118.651
PI;1998;9.652
PB;1998;25.675
MT;1998;50.909
MG;1998;15.317
RR;1999;98.083
TO;1999;20.468
RS;1999;30.807
AC;1999;16.517
RO;1999;44.194
PB;1999;21.549
AM;1999;40.722
SC;1999;10.498
MT;1999;47.271
RN;1999;11.276
SP;1999;89.838
MS;1999;45.94
PE;1999;111
MG;1999;16.446
AP;1999;91.299
PA;1999;18.173
AL;1999;34.681
PI;1999;9.709
DF;1999;62.589
MA;1999;7.481
RJ;1999;106.078
GO;1999;28.498
BA;1999;12.541
SE;1999;33.388
ES;1999;97.019
CE;1999;26.315
PR;1999;30.887
PR;2000;34.094
RR;2000;70.192
TO;2000;25.228
PA;2000;22.499
RO;2000;50.907
MS;2000;53.572
AM;2000;40.982
PB;2000;30.535
DF;2000;61.483
PE;2000;107.712
PI;2000;15.189
AC;2000;39.926
BA;2000;16.998
RN;2000;15.486
SC;2000;11.816
ES;2000;83.62
MG;2000;23.419
MT;2000;56.575
MA;2000;11.271
SP;2000;89.086
CE;2000;29.968
RS;2000;30.884
SE;2000;41.237
AL;2000;47.861
AP;2000;72.102
GO;2000;37.154
RJ;2000;105.276
RO;2001;57.015
AC;2001;41.64
AL;2001;57.455
AM;2001;32.174
AP;2001;74.121
BA;2001;22.38
CE;2001;30.97
GO;2001;39.151
MA;2001;17.587
MG;2001;24.868
MS;2001;44.828
MT;2001;55.945
PB;2001;29.388
PE;2001;118.284
PI;2001;15.862
PA;2001;27.062
RN;2001;19.527
RR;2001;50.635
PR;2001;39.219
RJ;2001;103.527
SE;2001;55.345
TO;2001;25.44
RS;2001;33.554
SC;2001;14.442
SP;2001;87.123
DF;2001;66.034
ES;2001;86.484
RR;2002;68.538
ES;2002;101.74
PI;2002;19.148
AL;2002;66.184
RJ;2002;117.661
PE;2002;110.485
PR;2002;45.939
CE;2002;34.185
MA;2002;17.714
GO;2002;46.095
AP;2002;74.674
MT;2002;53.295
PA;2002;32.63
RS;2002;35.982
TO;2002;22.978
AM;2002;34.483
AC;2002;50.931
PB;2002;32.597
DF;2002;60.069
SC;2002;17.486
MS;2002;51.813
SE;2002;59.055
BA;2002;25.365
MG;2002;31.791
RN;2002;17.659
RO;2002;65.866
SP;2002;80.413
AP;2003;79.925
RO;2003;53.054
RR;2003;49.664
MT;2003;51.319
PB;2003;34.077
MG;2003;43.359
MA;2003;24.272
AL;2003;72.049
ES;2003;95.606
DF;2003;64.24
PE;2003;111.826
CE;2003;35.66
PI;2003;18.274
MS;2003;56.17
BA;2003;31.528
TO;2003;23.88
SC;2003;20.505
AM;2003;37.037
RS;2003;34.833
AC;2003;43.13
GO;2003;45.489
SP;2003;76.882
SE;2003;46.631
RN;2003;24.391
PA;2003;37.851
RJ;2003;115.45
PR;2003;50.378
MT;2004;49.786
TO;2004;26.631
DF;2004;60.483
SP;2004;58.554
RJ;2004;110
PB;2004;34.938
MG;2004;49.174
AM;2004;32.618
GO;2004;51.106
