uf,tipo_area,sexo,idade,cor,pessoas_dom,freq_esc,nivel_instrucao,ocup_forca,trab_procurou,motivo_ntrab,serv_pub,ocup_cond,ocup_desc,ocup_cod,ocup_grupo,ocup_pos,ocup_pos2,ativ_cod,ativ_grupo,prev,ocup_horas,rendimento,rendimento_total
51,4,masculino,25,4,5,2.0,medio,2.0,2.0,3.0,,,,,,,,,,,,,
33,4,feminino,58,1,2,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
51,4,masculino,62,4,2,2.0,sem_instrucao,2.0,2.0,3.0,,,,,,,,,,,,,
35,4,feminino,18,1,5,1.0,medio_inc,1.0,,,,1.0,agricultor_horta_viv_jardim,6112.0,6.0,6.0,10.0,1111.0,1.0,2.0,1.0,,
29,4,feminino,50,4,6,2.0,fundamental_inc,2.0,2.0,6.0,,,,,,,,,,,,,
31,4,feminino,51,1,2,2.0,superior,2.0,2.0,5.0,,,,,,,,,,,,,
41,2,feminino,16,1,4,1.0,medio_inc,2.0,2.0,2.0,,,,,,,,,,,,,
21,4,feminino,6,2,5,1.0,sem_instrucao,,,,,,,,,,,,,,,,
42,4,masculino,28,1,4,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,6.0,10.0,1102.0,1.0,2.0,3.0,,
35,4,masculino,33,4,3,2.0,medio,1.0,,,1.0,1.0,cond_carro_taxi_caminhonete,8322.0,8.0,3.0,7.0,84013.0,8.0,1.0,3.0,937.0,937.0
32,2,feminino,64,4,1,2.0,fundamental,1.0,,,,1.0,vend_domiciliar,5243.0,5.0,5.0,9.0,48071.0,4.0,2.0,2.0,500.0,0.0
13,4,masculino,42,2,4,2.0,fundamental_inc,1.0,,,1.0,1.0,trab_limp_interior_edif_esc_hotel,9112.0,9.0,3.0,7.0,85012.0,9.0,1.0,2.0,1300.0,1300.0
33,1,masculino,31,1,2,2.0,superior_inc,1.0,,,,1.0,jornalista,2642.0,2.0,1.0,1.0,58000.0,7.0,1.0,2.0,4000.0,4000.0
50,4,feminino,29,1,3,2.0,superior,1.0,1.0,,,2.0,,,,,,,,,,,
41,4,feminino,6,1,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,
33,1,masculino,33,1,3,2.0,medio,1.0,,,,1.0,mensageiros_carreg_bagagem_encomenda,9621.0,9.0,1.0,1.0,53002.0,5.0,1.0,3.0,950.0,950.0
52,4,feminino,56,1,3,2.0,sem_instrucao,2.0,2.0,1.0,,,,,,,,,,,,,
21,1,feminino,43,2,4,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
51,2,feminino,50,1,3,2.0,superior,1.0,,,,1.0,advogado_jurista,2611.0,2.0,5.0,9.0,69000.0,7.0,2.0,2.0,937.0,937.0
21,4,feminino,48,4,10,2.0,sem_instrucao,1.0,,,,1.0,trab_element_agricult,9211.0,9.0,5.0,9.0,1108.0,1.0,2.0,2.0,240.0,240.0
32,1,feminino,31,4,2,2.0,superior,1.0,,,,1.0,instrutor_ed_fisica,3423.0,3.0,5.0,9.0,93012.0,10.0,1.0,5.0,2500.0,4100.0
43,4,feminino,7,1,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,
11,4,masculino,32,1,3,2.0,fundamental,1.0,,,,1.0,criador_gado,6121.0,6.0,5.0,9.0,1201.0,1.0,2.0,3.0,1500.0,1000.0
17,4,masculino,15,2,3,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,
21,2,masculino,24,1,4,1.0,superior_inc,1.0,,,,1.0,escriturario_geral,4110.0,4.0,1.0,1.0,86001.0,9.0,1.0,3.0,920.0,920.0
41,1,feminino,57,1,1,2.0,superior,1.0,,,,1.0,profis_nivmedio_direito,3411.0,3.0,3.0,6.0,84015.0,8.0,1.0,3.0,6700.0,6700.0
29,4,feminino,32,1,3,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,1102.0,1.0,2.0,2.0,100.0,100.0
26,1,masculino,32,1,2,2.0,medio,1.0,,,,1.0,dirig_financ,1211.0,1.0,1.0,1.0,48030.0,4.0,1.0,5.0,4500.0,4500.0
31,2,feminino,38,2,5,2.0,medio,1.0,,,1.0,1.0,escriturario_geral,4110.0,4.0,3.0,7.0,84012.0,8.0,1.0,3.0,1800.0,1600.0
43,1,masculino,14,1,2,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,
41,4,feminino,3,4,5,,,,,,,,,,,,,,,,,,
15,4,feminino,28,4,1,1.0,superior,1.0,,,,1.0,dentista,2261.0,2.0,1.0,2.0,86002.0,9.0,2.0,3.0,3500.0,3500.0
15,4,masculino,84,2,3,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
24,2,feminino,38,1,4,2.0,medio,2.0,1.0,2.0,,,,,,,,,,,,,
41,4,masculino,69,4,4,2.0,medio,1.0,,,,1.0,trab_contr_abastec_estoq,4321.0,4.0,1.0,1.0,23099.0,2.0,1.0,5.0,1650.0,3050.0
42,4,masculino,42,1,2,2.0,medio,1.0,,,,1.0,mec_maq_agric_ind,7233.0,7.0,1.0,1.0,28000.0,2.0,1.0,3.0,2200.0,2200.0
21,4,feminino,68,4,3,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
50,4,feminino,33,4,3,2.0,fundamental,1.0,,,,1.0,trab_contr_abastec_estoq,4321.0,4.0,1.0,1.0,10010.0,2.0,1.0,3.0,1250.0,1250.0
23,4,feminino,48,4,3,2.0,medio,1.0,,,,1.0,sapateiro,7536.0,7.0,1.0,2.0,15020.0,2.0,1.0,4.0,937.0,0.0
53,1,feminino,78,4,3,2.0,sem_instrucao,2.0,2.0,6.0,,,,,,,,,,,,,
29,4,feminino,40,4,6,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
35,4,feminino,88,4,3,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,
35,4,masculino,68,4,5,2.0,fundamental_inc,1.0,,,,1.0,agricultor_horta_viv_jardim,6112.0,6.0,2.0,4.0,97000.0,11.0,2.0,3.0,1000.0,1000.0
13,1,feminino,37,4,5,2.0,medio,1.0,,,,1.0,tec_lab_med,3212.0,3.0,1.0,1.0,86001.0,9.0,1.0,2.0,1300.0,1300.0
21,2,masculino,7,4,5,1.0,sem_instrucao,,,,,,,,,,,,,,,,
33,4,masculino,7,1,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,
53,1,feminino,31,1,4,2.0,superior,2.0,2.0,1.0,,,,,,,,,,,,,
35,4,feminino,19,1,1,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
23,4,masculino,32,4,4,2.0,medio,1.0,,,,1.0,atend_bar,5132.0,5.0,1.0,1.0,56011.0,6.0,1.0,4.0,937.0,937.0
35,2,masculino,30,4,2,2.0,superior,1.0,,,,1.0,ajud_cozinha,9412.0,9.0,1.0,1.0,74000.0,7.0,1.0,3.0,1600.0,1600.0
52,1,masculino,52,1,4,2.0,superior,1.0,,,,1.0,superv_ind_transf,3122.0,3.0,1.0,1.0,10099.0,2.0,1.0,3.0,7000.0,7000.0
16,2,feminino,20,4,4,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,
